Title,Author,Date,Link
Brighter and Brighter until the Perfect Day,Mark A. Bragg,2017-04,https://www.lds.org/general-conference/2017/04/brighter-and-brighter-until-the-perfect-day?lang=eng
Drawing the Power of Jesus Christ into Our Lives,Russell M. Nelson,2017-04,https://www.lds.org/general-conference/2017/04/drawing-the-power-of-jesus-christ-into-our-lives?lang=eng
The Sustaining of Church Officers,Dieter F. Uchtdorf,2017-04,https://www.lds.org/general-conference/2017/04/the-sustaining-of-church-officers?lang=eng
Church Auditing Department Report 2016,Kevin R. Jergensen,2017-04,https://www.lds.org/general-conference/2017/04/church-auditing-department-report-2016?lang=eng
Statistical Report 2016,Brook P. Hales,2017-04,https://www.lds.org/general-conference/2017/04/statistical-report-2016?lang=eng
Becoming a Disciple of Our Lord Jesus Christ,Robert D. Hales,2017-04,https://www.lds.org/general-conference/2017/04/becoming-a-disciple-of-our-lord-jesus-christ?lang=eng
Songs Sung and Unsung,Jeffrey R. Holland,2017-04,https://www.lds.org/general-conference/2017/04/songs-sung-and-unsung?lang=eng
Stand Up Inside and Be All In,Gary B. Sabin,2017-04,https://www.lds.org/general-conference/2017/04/stand-up-inside-and-be-all-in?lang=eng
The Language of the Gospel,Valeri V. Cordón,2017-04,https://www.lds.org/general-conference/2017/04/the-language-of-the-gospel?lang=eng
Overcoming the World,Neil L. Andersen,2017-04,https://www.lds.org/general-conference/2017/04/overcoming-the-world?lang=eng
Return and Receive,M. Russell Ballard,2017-04,https://www.lds.org/general-conference/2017/04/return-and-receive?lang=eng
Kindness Charity and Love,Thomas S. Monson,2017-04,https://www.lds.org/general-conference/2017/04/kindness-charity-and-love?lang=eng
Called to the Work,David A. Bednar,2017-04,https://www.lds.org/general-conference/2017/04/called-to-the-work?lang=eng
Prepare the Way,Gérald Caussé,2017-04,https://www.lds.org/general-conference/2017/04/prepare-the-way?lang=eng
The Greatest among You,Dieter F. Uchtdorf,2017-04,https://www.lds.org/general-conference/2017/04/the-greatest-among-you?lang=eng
Walk with Me,Henry B. Eyring,2017-04,https://www.lds.org/general-conference/2017/04/walk-with-me?lang=eng
The Power of the Book of Mormon,Thomas S. Monson,2017-04,https://www.lds.org/general-conference/2017/04/the-power-of-the-book-of-mormon?lang=eng
A Sin-Resistant Generation,Joy D. Jones,2017-04,https://www.lds.org/general-conference/2017/04/a-sin-resistant-generation?lang=eng
Dont Look Around Look Up,Yoon Hwan Choi,2017-04,https://www.lds.org/general-conference/2017/04/dont-look-around-look-up?lang=eng
Let the Holy Spirit Guide,Ronald A. Rasband,2017-04,https://www.lds.org/general-conference/2017/04/let-the-holy-spirit-guide?lang=eng
Whatsoever He Saith unto You Do It,L. Whitney Clayton,2017-04,https://www.lds.org/general-conference/2017/04/whatsoever-he-saith-unto-you-do-it?lang=eng
The Godhead and the Plan of Salvation,Dallin H. Oaks,2017-04,https://www.lds.org/general-conference/2017/04/the-godhead-and-the-plan-of-salvation?lang=eng
Perfect Love Casteth Out Fear,Dieter F. Uchtdorf,2017-04,https://www.lds.org/general-conference/2017/04/perfect-love-casteth-out-fear?lang=eng
The Voice of Warning,D. Todd Christofferson,2017-04,https://www.lds.org/general-conference/2017/04/the-voice-of-warning?lang=eng
To the Friends and Investigators of the Church,Joaquin E. Costa,2017-04,https://www.lds.org/general-conference/2017/04/to-the-friends-and-investigators-of-the-church?lang=eng
Then Jesus Beholding Him Loved Him,S. Mark Palmer,2017-04,https://www.lds.org/general-conference/2017/04/then-jesus-beholding-him-loved-him?lang=eng
How Does the Holy Ghost Help You,Gary E. Stevenson,2017-04,https://www.lds.org/general-conference/2017/04/how-does-the-holy-ghost-help-you?lang=eng
And This Is Life Eternal,C. Scott Grow,2017-04,https://www.lds.org/general-conference/2017/04/and-this-is-life-eternal?lang=eng
That Our Light May Be a Standard for the Nations,Benjamín De Hoyos,2017-04,https://www.lds.org/general-conference/2017/04/that-our-light-may-be-a-standard-for-the-nations?lang=eng
Foundations of Faith,Quentin L. Cook,2017-04,https://www.lds.org/general-conference/2017/04/foundations-of-faith?lang=eng
Turn On Your Light,Sharon Eubank,2017-10,https://www.lds.org/general-conference/2017/10/turn-on-your-light?lang=eng
Abiding in God and Repairing the Breach,Neill F. Marriott,2017-10,https://www.lds.org/general-conference/2017/10/abiding-in-god-and-repairing-the-breach?lang=eng
Value beyond Measure,Joy D. Jones,2017-10,https://www.lds.org/general-conference/2017/10/value-beyond-measure?lang=eng
Three Sisters,Dieter F. Uchtdorf,2017-10,https://www.lds.org/general-conference/2017/10/three-sisters?lang=eng
A Yearning for Home,Dieter F. Uchtdorf,2017-10,https://www.lds.org/general-conference/2017/10/a-yearning-for-home?lang=eng
The Needs before Us,Bonnie L. Oscarson,2017-10,https://www.lds.org/general-conference/2017/10/the-needs-before-us?lang=eng
The Plan and the Proclamation,Dallin H. Oaks,2017-10,https://www.lds.org/general-conference/2017/10/the-plan-and-the-proclamation?lang=eng
I Have a Work for Thee,John C. Pingree Jr.,2017-10,https://www.lds.org/general-conference/2017/10/i-have-a-work-for-thee?lang=eng
